player,nation,position,season,age,matches,starts,minutes,nineties,goals,assists,goals_assists,goals_minus_pk,pk,pk_att,yellow_cards,red_cards,goals_p90,assists_p90,shots,shots_on_target,xg,goals_above_xg,xg_p90,tackles_won,interceptions,defensive_actions,fouls,crosses,pass_completion_pct
Ally Sentnor,USA,MF,2025,20,11,7,665,7.4,0,0,0,0,0,0,1,0,0.0,0.0,16,3,1.76,-1.76,0.24,0,0,0,0,0,80.2
Alana Cook,USA,DF,2025,27,7,7,586,6.5,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,83.3
Nichelle Prince,CAN,FW,2025,29,21,6,754,8.4,1,1,2,1,0,0,1,0,0.12,0.12,19,7,2.09,-1.09,0.25,26,10,36,23,26,75.4
Gabrielle Robinson,USA,DF,2025,23,8,6,399,4.4,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,82.9
Haley Hopkins,USA,MF,2025,26,20,3,440,4.9,1,3,4,1,0,0,1,0,0.2,0.61,9,4,0.99,0.01,0.2,0,0,0,0,0,79.5
Laurel Ivory,USA,GK,2025,25,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,66.0
Lacho Marta,ANG,FW,2025,25,6,2,157,1.7,0,0,0,0,0,0,0,0,0.0,0.0,5,1,0.55,-0.55,0.32,0,0,0,0,0,72.7
Katie Scott,USA,DF,2025,17,2,2,121,1.3,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,82.3
Mary Long,USA,FW,2025,18,10,1,186,2.1,0,1,1,0,0,0,0,0,0.0,0.48,0,0,0.0,0.0,0.0,0,0,0,0,0,72.8
Bayley Feist,USA,MF,2025,27,9,1,172,1.9,0,0,0,0,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,78.6
Alex Pfeiffer,USA,MF,2025,17,4,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,78.3
Regan Steigleder,NOR,MF,2025,26,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,78.1
Mwanalima Jereko,KEN,MF,2025,27,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,78.0
